"Your_github","Instructions"
"liming17","Please review the hw10 submission of [yihaoz](https://github.com/STAT545-UBC-students/hw10-yihaoz) and [MaunishUBC](https://github.com/STAT545-UBC-students/hw10-MaunishUBC)."
"liuyadong08","Please review the hw10 submission of [patriciata](https://github.com/STAT545-UBC-students/hw10-patriciata) and [chenchenguo](https://github.com/STAT545-UBC-students/hw10-chenchenguo)."
"lsloboda","Please review the hw10 submission of [janehuang1647](https://github.com/STAT545-UBC-students/hw10-janehuang1647) and [Kate96](https://github.com/STAT545-UBC-students/hw10-Kate96)."
"MalcolmNSB","Please review the hw10 submission of [iyaniwura](https://github.com/STAT545-UBC-students/hw10-iyaniwura) and [meiqiyu](https://github.com/STAT545-UBC-students/hw10-meiqiyu)."
"MaunishUBC","Please review the hw10 submission of [liao02x](https://github.com/STAT545-UBC-students/hw10-liao02x) and [alvin-q](https://github.com/STAT545-UBC-students/hw10-alvin-q)."
"meiqiyu","Please review the hw10 submission of [Mengsuper](https://github.com/STAT545-UBC-students/hw10-Mengsuper) and [aidanh14](https://github.com/STAT545-UBC-students/hw10-aidanh14)."
"Mengsuper","Please review the hw10 submission of [aidanh14](https://github.com/STAT545-UBC-students/hw10-aidanh14) and [rasiimwe](https://github.com/STAT545-UBC-students/hw10-rasiimwe)."
"MielleM","Please review the hw10 submission of [zhamadeh](https://github.com/STAT545-UBC-students/hw10-zhamadeh) and [RyanGao67](https://github.com/STAT545-UBC-students/hw10-RyanGao67)."
"patriciata","Please review the hw10 submission of [chenchenguo](https://github.com/STAT545-UBC-students/hw10-chenchenguo) and [tsmith93](https://github.com/STAT545-UBC-students/hw10-tsmith93)."
"QinxinLin","Please review the hw10 submission of [ziqiangt](https://github.com/STAT545-UBC-students/hw10-ziqiangt) and [rachlobay](https://github.com/STAT545-UBC-students/hw10-rachlobay)."
"rachlobay","Please review the hw10 submission of [g-ziyan](https://github.com/STAT545-UBC-students/hw10-g-ziyan) and [figalit](https://github.com/STAT545-UBC-students/hw10-figalit)."
"rasiimwe","Please review the hw10 submission of [slumnitz](https://github.com/STAT545-UBC-students/hw10-slumnitz) and [yukirang](https://github.com/STAT545-UBC-students/hw10-yukirang)."
"rgryba","Please review the hw10 submission of [MielleM](https://github.com/STAT545-UBC-students/hw10-MielleM) and [zhamadeh](https://github.com/STAT545-UBC-students/hw10-zhamadeh)."
"rning-wu","Please review the hw10 submission of [tanvimittal71](https://github.com/STAT545-UBC-students/hw10-tanvimittal71) and [Caroline-Seip](https://github.com/STAT545-UBC-students/hw10-Caroline-Seip)."
"RyanGao67","Please review the hw10 submission of [emreerhan](https://github.com/STAT545-UBC-students/hw10-emreerhan) and [liming17](https://github.com/STAT545-UBC-students/hw10-liming17)."
"schignel","Please review the hw10 submission of [j-schaub](https://github.com/STAT545-UBC-students/hw10-j-schaub) and [acheng-ubc](https://github.com/STAT545-UBC-students/hw10-acheng-ubc)."
"ShreeramSenthi","Please review the hw10 submission of [funkedavid82](https://github.com/STAT545-UBC-students/hw10-funkedavid82) and [ecool50](https://github.com/STAT545-UBC-students/hw10-ecool50)."
"slumnitz","Please review the hw10 submission of [yukirang](https://github.com/STAT545-UBC-students/hw10-yukirang) and [rgryba](https://github.com/STAT545-UBC-students/hw10-rgryba)."
"Sukeysun","Please review the hw10 submission of [zeeva85](https://github.com/STAT545-UBC-students/hw10-zeeva85) and [lh563](https://github.com/STAT545-UBC-students/hw10-lh563)."
"tanvimittal71","Please review the hw10 submission of [Caroline-Seip](https://github.com/STAT545-UBC-students/hw10-Caroline-Seip) and [garyzhubc](https://github.com/STAT545-UBC-students/hw10-garyzhubc)."
"tsmith93","Please review the hw10 submission of [katiezinn](https://github.com/STAT545-UBC-students/hw10-katiezinn) and [CeciliaLe07](https://github.com/STAT545-UBC-students/hw10-CeciliaLe07)."
"yavyx","Please review the hw10 submission of [lsloboda](https://github.com/STAT545-UBC-students/hw10-lsloboda) and [janehuang1647](https://github.com/STAT545-UBC-students/hw10-janehuang1647)."
"yihaoz","Please review the hw10 submission of [MaunishUBC](https://github.com/STAT545-UBC-students/hw10-MaunishUBC) and [liao02x](https://github.com/STAT545-UBC-students/hw10-liao02x)."
"YuHsiangLo","Please review the hw10 submission of [Irissq28](https://github.com/STAT545-UBC-students/hw10-Irissq28) and [JasmineLib](https://github.com/STAT545-UBC-students/hw10-JasmineLib)."
"yukirang","Please review the hw10 submission of [rgryba](https://github.com/STAT545-UBC-students/hw10-rgryba) and [MielleM](https://github.com/STAT545-UBC-students/hw10-MielleM)."
"zeeva85","Please review the hw10 submission of [lh563](https://github.com/STAT545-UBC-students/hw10-lh563) and [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw10-ShreeramSenthi)."
"zhamadeh","Please review the hw10 submission of [RyanGao67](https://github.com/STAT545-UBC-students/hw10-RyanGao67) and [emreerhan](https://github.com/STAT545-UBC-students/hw10-emreerhan)."
"ziqiangt","Please review the hw10 submission of [rachlobay](https://github.com/STAT545-UBC-students/hw10-rachlobay) and [g-ziyan](https://github.com/STAT545-UBC-students/hw10-g-ziyan)."
"zjbthomas","Please review the hw10 submission of [QinxinLin](https://github.com/STAT545-UBC-students/hw10-QinxinLin) and [ziqiangt](https://github.com/STAT545-UBC-students/hw10-ziqiangt)."
